Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
16636,25101072,EEEFM DR JOAO GONCALVES,Paraíba,Pitimbu,Estadual,Urbana,11,458.37,439.46,464.81,464.16,503.64,466.09
16679,25264923,EDUCANDARIO SANTO ANTONIO,Paraíba,Bayeux,Privada,Urbana,10,473.54,434.4,477.66,501.32,442,465.78
16684,25080407,EEEFM JOAO RIBEIRO,Paraíba,Gurinhém,Estadual,Urbana,62,463.75,441.76,478.09,460.03,485.16,465.76
16686,25020366,EEEM CONEGO MACHADO,Paraíba,Passagem,Estadual,Urbana,22,470.84,441.3,473.1,462.59,480.91,465.75
16710,25122908,EEEFMN PEDRO TARGINO DA COSTA MOREIRA,Paraíba,Cacimba de Dentro,Estadual,Urbana,36,460.48,421.11,480.38,448.82,517.22,465.6
16715,25084992,EEEM ANTONIO FRANCISCO GOMES,Paraíba,Santa Cecília,Estadual,Urbana,25,456.81,435.47,489.58,474.88,471.2,465.59
16717,25030566,EEEM ADALGISA TEODULO DA FONSECA,Paraíba,Itaporanga,Estadual,Urbana,77,446.34,434.7,464.27,461.67,520.78,465.55
16763,25056620,EEEFM JOSE ROLDERICK DE OLIVEIRA,Paraíba,Nova Floresta,Estadual,Urbana,35,454.56,436.47,474.43,466.59,494.29,465.27
16815,25082272,EEEFM DOM ADAUTO,Paraíba,Juarez Távora,Estadual,Urbana,51,451.41,435.96,469.62,472.2,494.9,464.82
16819,25007718,EEEFM PROF MANOEL MANGUEIRA LIMA,Paraíba,Cajazeiras,Estadual,Urbana,45,462.48,418.95,469.98,452.49,520,464.78
16821,25076590,EEEFM JOSE MIGUEL LEAO,Paraíba,Campina Grande,Estadual,Rural,55,462.14,428.37,480.67,457.79,494.91,464.77
16824,25020889,EEEFM LUCIA WANDERLEY DE FREITAS,Paraíba,Patos,Estadual,Urbana,14,443.91,448.94,469.86,485.29,475.71,464.74
16840,25087908,ESCOLA ESTADUAL ENSINO FUNDAMENTAL E MEDIO FREDERICO LUNDGREN,Paraíba,Rio Tinto,Estadual,Urbana,19,472.12,433.44,471.88,442.65,503.16,464.65
16854,25093975,ECI NICODEMOS NEVES,Paraíba,João Pessoa,Estadual,Urbana,40,469.19,440.7,488.98,467.84,456,464.54
16855,25091360,INSTITUTO DE ENSINO JAIME CAETANO,Paraíba,Bayeux,Privada,Urbana,11,438.29,417.68,500.7,493.27,472.73,464.53
16871,25099175,ECIT MARIA HONORINA SANTIAGO,Paraíba,Santa Rita,Estadual,Urbana,26,459.97,426.83,474,444.3,516.92,464.41
16978,25094653,EEEM PROFESSOR ORLANDO CAVALCANTI GOMES,Paraíba,João Pessoa,Estadual,Urbana,83,456.34,431.87,481.36,450.01,498.07,463.53
16993,25091620,EEEFM ABREU E LIMA,Paraíba,Cabedelo,Estadual,Urbana,22,451.25,429.82,472.6,459.4,503.64,463.34
17007,25011669,E EST DE CURSO NORMAL EM NIVEL MEDIO SAO JOSE,Paraíba,São José de Piranhas,Estadual,Urbana,45,443.12,428.37,469.27,457.53,517.78,463.21
17029,25002422,EEEFM FRANCISCO MAIA,Paraíba,Jericó,Estadual,Urbana,41,477.48,438.13,495.89,468.93,434.63,463.01
17046,25045377,ECIT JOSE LEITE DE SOUSA,Paraíba,Monteiro,Estadual,Urbana,50,459.08,432.17,481.13,453.85,488.4,462.93
17080,25095080,EEEFM PADRE ROMA,Paraíba,João Pessoa,Estadual,Urbana,28,465.31,435.01,471.09,466.06,475.71,462.64
17156,25072099,ECI ASSIS CHATEAUBRIAND,Paraíba,Campina Grande,Estadual,Urbana,62,456.39,424.65,481.36,448.58,500,462.19
17204,25070576,EEEFM MARIA JOSE MIRANDA BURITY,Paraíba,Serra da Raiz,Estadual,Urbana,14,465.91,416.39,498.34,462.64,465.71,461.8
17216,25118579,EEEM PREFEITO SEVERINO PEREIRA GOMES,Paraíba,Baraúna,Estadual,Urbana,34,479.82,443.22,476.81,462.78,445.88,461.7
17247,25080261,EEEFM MANOEL AVELINO DE PAIVA,Paraíba,Caldas Brandão,Estadual,Urbana,36,466.8,419.06,466.19,452.38,502.78,461.44
17259,25034200,EEEFM MARIA DO SOCORRO RAMALHO QUIRINO,Paraíba,Imaculada,Estadual,Urbana,17,459.86,430.82,483.41,470.26,462.35,461.34
17286,25093843,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CONEGO FRANCISCO GOMES LIMA,Paraíba,João Pessoa,Estadual,Urbana,48,456.03,435.34,486.63,452.73,475,461.15
17297,25082922,ECI ANA RIBEIRO,Paraíba,Salgado de São Félix,Estadual,Urbana,32,446.92,421.96,464.15,462.28,510,461.06
17316,25030116,EEEFMI PADRE MANOEL OTAVIANO,Paraíba,Ibiara,Estadual,Urbana,39,450.19,419.33,467.23,487.5,480.51,460.95
17358,25081403,ESCOLA CIDADA INTEGRAL TECNICA ESTADUAL DE ITABAIANA DOUTOR ANTONIO BATISTA SANTIAGO,Paraíba,Itabaiana,Estadual,Urbana,74,446.48,421.8,462.12,461.25,511.62,460.65
17362,25067869,EEEFM ODILON NELSON DANTAS,Paraíba,Cuitegi,Estadual,Urbana,14,458.72,417,446.05,447.05,534.29,460.62
